"pt_standard_en","analysis_group","pt","pt_cn","soc_en","soc_cn","cases","a","b","c","d","a_plus_b","a_plus_c","a_plus_b_plus_c_plus_d","ROR","ROR_025","ROR_975","PRR","chi_squared","IC","IC025","expected_E","EBGM","EBGM05","is_ror_signal","is_prr_signal","is_bcpnn_signal","is_mgps_signal","is_core_ror_prr_signal","is_strict_four_algorithm_signal","ror_95ci_range"
"Skin reaction","Iodixanol","Skin reaction","皮肤反应","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","11","11","2258","13244","19890966","2269","13255","19906479","7.32","4.05","13.23","7.29","59.65","2.86","2.26","1.5108","5.72","2.79","1","1","1","1","1","1","7.32 (4.05, 13.23)"
"Blood pressure decreased","Iodixanol","Blood pressure decreased","血压降低","Investigations","各类检查","51","51","2218","63228","19840982","2269","63279","19906479","7.22","5.47","9.53","7.08","266.7","2.82","2.54","7.2127","6.68","3.78","1","1","1","1","1","1","7.22 (5.47, 9.53)"
"Rash pruritic","Iodixanol","Rash pruritic","瘙痒性皮疹","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","41","41","2228","50819","19853391","2269","50860","19906479","7.19","5.28","9.79","7.08","214.34","2.82","2.51","5.7972","6.59","3.69","1","1","1","1","1","1","7.19 (5.28, 9.79)"
"FLUSHING","Iodixanol","FLUSHING","潮红","Vascular disorders","血管与淋巴管类疾病","78","78","2191","98129","19806081","2269","98207","19906479","7.19","5.73","9.01","6.97","400.73","2.8","2.57","11.1939","6.71","3.86","1","1","1","1","1","1","7.19 (5.73, 9.01)"
"PARAESTHESIA ORAL","Iodixanol","PARAESTHESIA ORAL","口部异常感觉","Gastrointestinal disorders","胃肠系统疾病","11","11","2258","13576","19890634","2269","13587","19906479","7.14","3.95","12.91","7.11","57.73","2.83","2.22","1.5487","5.61","2.74","1","1","1","1","1","1","7.14 (3.95, 12.91)"
"Eye swelling","Iodixanol","Eye swelling","眼肿","Eye disorders","眼器官疾病","27","27","2242","35212","19868998","2269","35239","19906479","6.8","4.65","9.93","6.73","131.76","2.75","2.36","4.0166","6.09","3.31","1","1","1","1","1","1","6.80 (4.65, 9.93)"
"Chest discomfort","Iodixanol","Chest discomfort","胸部不适","General disorders and administration site conditions","全身性疾病及给药部位各种反应","72","72","2197","96288","19807922","2269","96360","19906479","6.74","5.33","8.53","6.56","340.66","2.71","2.47","10.9834","6.31","3.62","1","1","1","1","1","1","6.74 (5.33, 8.53)"
"Throat irritation","Iodixanol","Throat irritation","咽喉刺激","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","32","32","2237","42132","19862078","2269","42164","19906479","6.74","4.76","9.56","6.66","154.22","2.74","2.38","4.806","6.13","3.38","1","1","1","1","1","1","6.74 (4.76, 9.56)"
"Pallor","Iodixanol","Pallor","苍白","Vascular disorders","血管与淋巴管类疾病","20","20","2249","26263","19877947","2269","26283","19906479","6.73","4.33","10.45","6.68","96.65","2.74","2.29","2.9958","5.86","3.1","1","1","1","1","1","1","6.73 (4.33, 10.45)"
"Brain oedema","Iodixanol","Brain oedema","脑水肿","Nervous system disorders","各类神经系统疾病","9","9","2260","11990","19892220","2269","11999","19906479","6.61","3.43","12.72","6.58","42.62","2.72","2.05","1.3677","5.09","2.39","1","1","1","1","1","1","6.61 (3.43, 12.72)"
"Chills","Iodixanol","Chills","寒战","General disorders and administration site conditions","全身性疾病及给药部位各种反应","80","80","2189","112129","19792081","2269","112209","19906479","6.45","5.16","8.06","6.26","355.23","2.64","2.42","12.7899","6.06","3.49","1","1","1","1","1","1","6.45 (5.16, 8.06)"
"Urinary incontinence","Iodixanol","Urinary incontinence","尿失禁","Renal and urinary disorders","肾脏及泌尿系统疾病","20","20","2249","28367","19875843","2269","28387","19906479","6.23","4.01","9.68","6.18","86.99","2.63","2.18","3.2356","5.49","2.9","1","1","1","1","1","1","6.23 (4.01, 9.68)"
"Pruritus generalised","Iodixanol","Pruritus generalised",,,,"15","15","2254","21573","19882637","2269","21588","19906479","6.13","3.69","10.19","6.1","63.98","2.61","2.09","2.4607","5.24","2.67","1","1","1","1","1","1","6.13 (3.69, 10.19)"
"Aphasia","Iodixanol","Aphasia","失语","Nervous system disorders","各类神经系统疾病","20","20","2249","28877","19875333","2269","28897","19906479","6.12","3.94","9.51","6.08","84.87","2.6","2.15","3.2938","5.4","2.86","1","1","1","1","1","1","6.12 (3.94, 9.51)"
"Hypotension","Iodixanol","Hypotension","低血压","Vascular disorders","血管与淋巴管类疾病","119","119","2150","190283","19713927","2269","190402","19906479","5.73","4.77","6.9","5.49","440.47","2.46","2.27","21.7026","5.38","3.13","1","1","1","1","1","1","5.73 (4.77, 6.90)"
"Acute kidney injury","Iodixanol","Acute kidney injury","急性肾损伤","Renal and urinary disorders","肾脏及泌尿系统疾病","116","116","2153","185645","19718565","2269","185761","19906479","5.72","4.75","6.9","5.48","428.73","2.45","2.26","21.1736","5.38","3.13","1","1","1","1","1","1","5.72 (4.75, 6.90)"
"HYPOAESTHESIA ORAL","Iodixanol","HYPOAESTHESIA ORAL","口腔感觉减退","Gastrointestinal disorders","胃肠系统疾病","9","9","2260","14372","19889838","2269","14381","19906479","5.51","2.86","10.61","5.49","33.08","2.46","1.79","1.6392","4.44","2.09","1","1","1","1","1","1","5.51 (2.86, 10.61)"
"RESPIRATORY DISTRESS","Iodixanol","RESPIRATORY DISTRESS","呼吸窘迫","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","16","16","2253","26394","19877816","2269","26410","19906479","5.35","3.27","8.75","5.32","56.13","2.41","1.91","3.0103","4.7","2.42","1","1","1","1","1","1","5.35 (3.27, 8.75)"
"Blood creatinine increased","Iodixanol","Blood creatinine increased","血肌酐升高","Investigations","各类检查","37","37","2232","62574","19841636","2269","62611","19906479","5.26","3.8","7.27","5.19","125.37","2.37","2.04","7.1366","4.91","2.73","1","1","1","1","1","1","5.26 (3.80, 7.27)"
"RESPIRATORY ARREST","Iodixanol","RESPIRATORY ARREST","呼吸停止","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","16","16","2253","26964","19877246","2269","26980","19906479","5.24","3.2","8.56","5.21","54.4","2.38","1.88","3.0753","4.62","2.38","1","1","1","1","1","1","5.24 (3.20, 8.56)"
"Presyncope","Iodixanol","Presyncope","晕厥前期","Nervous system disorders","各类神经系统疾病","13","13","2256","22785","19881425","2269","22798","19906479","5.03","2.91","8.67","5.01","41.69","2.32","1.77","2.5986","4.36","2.18","1","1","1","1","1","1","5.03 (2.91, 8.67)"
"Rash","Iodixanol","Rash","皮疹","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","210","210","2059","405777","19498433","2269","405987","19906479","4.9","4.25","5.65","4.54","591.39","2.18","2.04","46.2756","4.5","2.64","1","1","1","1","1","1","4.90 (4.25, 5.65)"
"Blister","Iodixanol","Blister","水疱","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","28","28","2241","51899","19852311","2269","51927","19906479","4.78","3.29","6.94","4.73","82.6","2.24","1.86","5.9188","4.44","2.42","1","1","1","1","1","1","4.78 (3.29, 6.94)"
"OXYGEN SATURATION DECREASED","Iodixanol","OXYGEN SATURATION DECREASED","血氧饱和度降低","Investigations","各类检查","28","28","2241","52337","19851873","2269","52365","19906479","4.74","3.26","6.88","4.69","81.54","2.23","1.85","5.9687","4.41","2.4","1","1","1","1","1","1","4.74 (3.26, 6.88)"
"EYE PRURITUS","Iodixanol","EYE PRURITUS","眼睛瘙痒","Eye disorders","眼器官疾病","16","16","2253","30283","19873927","2269","30299","19906479","4.66","2.85","7.62","4.63","45.65","2.21","1.71","3.4536","4.17","2.15","1","1","1","1","1","1","4.66 (2.85, 7.62)"
"Loss of consciousness","Iodixanol","Loss of consciousness","意识丧失","Nervous system disorders","各类神经系统疾病","63","63","2206","122332","19781878","2269","122395","19906479","4.62","3.59","5.93","4.52","173.53","2.17","1.92","13.9509","4.39","2.51","1","1","1","1","1","1","4.62 (3.59, 5.93)"
"DELIRIUM","Iodixanol","DELIRIUM","谵妄","Psychiatric disorders","精神病类","17","17","2252","32562","19871648","2269","32579","19906479","4.61","2.86","7.42","4.58","47.62","2.19","1.71","3.7135","4.15","2.16","1","1","1","1","1","1","4.61 (2.86, 7.42)"
"Swelling","Iodixanol","Swelling","肿胀","General disorders and administration site conditions","全身性疾病及给药部位各种反应","43","43","2226","86223","19817987","2269","86266","19906479","4.44","3.28","6","4.37","112.38","2.13","1.82","9.8329","4.21","2.36","1","1","1","1","1","1","4.44 (3.28, 6.00)"
"Restlessness","Iodixanol","Restlessness","躁动","Psychiatric disorders","精神病类","17","17","2252","35068","19869142","2269","35085","19906479","4.28","2.65","6.89","4.25","42.34","2.09","1.6","3.9991","3.89","2.02","1","1","1","1","1","1","4.28 (2.65, 6.89)"
"Feeling hot","Iodixanol","Feeling hot","感觉热","General disorders and administration site conditions","全身性疾病及给药部位各种反应","27","27","2242","58853","19845357","2269","58880","19906479","4.06","2.78","5.94","4.02","61.52","2.01","1.62","6.7113","3.81","2.07","1","1","1","1","1","1","4.06 (2.78, 5.94)"
"Cardiac arrest","Iodixanol","Cardiac arrest","心脏停搏","Cardiac disorders","心脏器官疾病","36","36","2233","79528","19824682","2269","79564","19906479","4.02","2.89","5.59","3.97","80.3","1.99","1.65","9.0689","3.81","2.12","1","1","1","1","1","1","4.02 (2.89, 5.59)"
"Dysphonia","Iodixanol","Dysphonia","发声困难","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","25","25","2244","55386","19848824","2269","55411","19906479","3.99","2.69","5.92","3.96","55.43","1.98","1.58","6.3159","3.74","2.02","1","1","1","1","1","1","3.99 (2.69, 5.92)"
"Dyspnoea","Iodixanol","Dyspnoea","呼吸困难","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","222","222","2047","536532","19367678","2269","536754","19906479","3.91","3.41","4.5","3.63","434.49","1.86","1.72","61.1808","3.61","2.12","1","1","1","1","1","1","3.91 (3.41, 4.50)"
"Intravascular gas","Iohexol","Intravascular gas","血管内气体","Vascular disorders","血管与淋巴管类疾病","5","5","6438","3","19900033","6443","8","19906479","5151.71","1230.89","21561.71","5147.71","9648.22","10.92","9.45","0.0026","10.94","4.44","1","1","1","1","1","1","5,151.71 (1,230.89, 21,561.71)"
"Venous intravasation","Iohexol","Venous intravasation","静脉内渗","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","3","3","6440","10","19900026","6443","13","19906479","927.02","255.06","3369.22","926.59","2133.67","9.48","8.16","0.0042","6.94","2.35","1","1","1","1","1","1","927.02 (255.06, 3,369.22)"
"Contrast encephalopathy","Iohexol","Contrast encephalopathy","造影剂脑病","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","46","46","6397","184","19899852","6443","230","19906479","777.7","562.46","1075.31","772.16","28342.16","9.27","8.94","0.0744","80.95","45.6","1","1","1","1","1","1","777.70 (562.46, 1,075.31)"
"Inappropriate release of product for distribution","Iohexol","Inappropriate release of product for distribution","产品被不当分发配送","Product issues","产品问题","7","7","6436","38","19899998","6443","45","19906479","569.58","254.26","1275.92","568.96","3351.37","8.91","8.09","0.0146","14.58","6.48","1","1","1","1","1","1","569.58 (254.26, 1,275.92)"
"Contrast media allergy","Iohexol","Contrast media allergy","造影剂过敏","Immune system disorders","免疫系统疾病","211","211","6232","1378","19898658","6443","1589","19906479","488.91","422.07","566.34","472.93","86179.28","8.68","8.53","0.5143","208.52","122.44","1","1","1","1","1","1","488.91 (422.07, 566.34)"
"Contrast media reaction","Iohexol","Contrast media reaction","造影剂反应","Immune system disorders","免疫系统疾病","280","280","6163","1978","19898058","6443","2258","19906479","457.04","402.28","519.25","437.22","106762.37","8.58","8.45","0.7308","227.89","134.22","1","1","1","1","1","1","457.04 (402.28, 519.25)"
"ANAPHYLACTOID SHOCK","Iohexol","ANAPHYLACTOID SHOCK","类过敏性休克","Immune system disorders","免疫系统疾病","41","41","6402","420","19899616","6443","461","19906479","303.43","219.98","418.55","301.51","11188.12","8.1","7.77","0.1492","63.92","35.78","1","1","1","1","1","1","303.43 (219.98, 418.55)"
"MENINGITIS CHEMICAL","Iohexol","MENINGITIS CHEMICAL","化学性脑膜炎","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","19","19","6424","194","19899842","6443","213","19906479","303.39","189.28","486.29","302.49","5200.22","8.11","7.63","0.0689","34.27","18.02","1","1","1","1","1","1","303.39 (189.28, 486.29)"
"Meningitis fungal","Iohexol","Meningitis fungal","真菌性脑膜炎","Infections and infestations","感染及侵染类疾病","19","19","6424","205","19899831","6443","224","19906479","287.11","179.32","459.68","286.26","4943","8.03","7.55","0.0725","34.06","17.91","1","1","1","1","1","1","287.11 (179.32, 459.68)"
"Product administered from unauthorised provider","Iohexol","Product administered from unauthorised provider","施用了来自未获批提供商的产品","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","5","5","6438","68","19899968","6443","73","19906479","227.28","91.62","563.8","227.11","1048.46","7.73","6.8","0.0236","10.5","4.27","1","1","1","1","1","1","227.28 (91.62, 563.80)"
"Inadvertent injection air bubble","Iohexol","Inadvertent injection air bubble","不慎注入气泡","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","6","6","6437","90","19899946","6443","96","19906479","206.1","90.16","471.13","205.91","1147.02","7.59","6.75","0.0311","12.24","5.23","1","1","1","1","1","1","206.10 (90.16, 471.13)"
"Oxygen saturation immeasurable","Iohexol","Oxygen saturation immeasurable","氧饱和度不可测","Investigations","各类检查","5","5","6438","95","19899941","6443","100","19906479","162.68","66.17","400","162.56","762.69","7.27","6.35","0.0324","10.33","4.2","1","1","1","1","1","1","162.68 (66.17, 400.00)"
"Air embolism","Iohexol","Air embolism","空气栓塞","Vascular disorders","血管与淋巴管类疾病","18","18","6425","437","19899599","6443","455","19906479","127.57","79.57","204.53","127.22","2164.98","6.93","6.45","0.1473","28.58","14.94","1","1","1","1","1","1","127.57 (79.57, 204.53)"
"Extravasation","Iohexol","Extravasation","外渗","General disorders and administration site conditions","全身性疾病及给药部位各种反应","148","148","6295","3818","19896218","6443","3966","19906479","122.52","103.77","144.65","119.73","16777.91","6.85","6.68","1.2836","83.26","48.64","1","1","1","1","1","1","122.52 (103.77, 144.65)"
"Gingival pruritus","Iohexol","Gingival pruritus","牙龈瘙痒","Gastrointestinal disorders","胃肠系统疾病","3","3","6440","81","19899955","6443","84","19906479","114.45","36.14","362.4","114.39","325.17","6.79","5.61","0.0272","6.64","2.25","1","1","1","1","1","1","114.45 (36.14, 362.40)"
"RADIAL PULSE ABNORMAL","Iohexol","RADIAL PULSE ABNORMAL","桡动脉脉搏异常","Investigations","各类检查","4","4","6439","117","19899919","6443","121","19906479","105.66","38.99","286.33","105.59","400.72","6.67","5.66","0.0392","8.35","3.15","1","1","1","1","1","1","105.66 (38.99, 286.33)"
"Product with quality issue administered","Iohexol","Product with quality issue administered","给用了有质量问题的产品","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","7","7","6436","212","19899824","6443","219","19906479","102.09","48.06","216.85","101.98","677.58","6.63","5.86","0.0709","13.14","5.84","1","1","1","1","1","1","102.09 (48.06, 216.85)"
"Laryngeal obstruction","Iohexol","Laryngeal obstruction","喉阻塞","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","5","5","6438","167","19899869","6443","172","19906479","92.54","38.01","225.34","92.47","439.28","6.49","5.58","0.0557","9.9","4.02","1","1","1","1","1","1","92.54 (38.01, 225.34)"
"Sneezing","Iohexol","Sneezing","喷嚏","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","559","559","5884","20612","19879424","6443","21171","19906479","91.63","83.92","100.04","83.76","44553.13","6.35","6.26","6.8523","76.1","45.02","1","1","1","1","1","1","91.63 (83.92, 100.04)"
"Larynx irritation","Iohexol","Larynx irritation","喉刺激","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","6","6","6437","213","19899823","6443","219","19906479","87.08","38.67","196.09","87","496.12","6.4","5.58","0.0709","11.39","4.87","1","1","1","1","1","1","87.08 (38.67, 196.09)"
"Lacrimation disorder","Iohexol","Lacrimation disorder","流泪障碍","Eye disorders","眼器官疾病","3","3","6440","113","19899923","6443","116","19906479","82.04","26.06","258.26","82","233.83","6.32","5.15","0.0375","6.51","2.2","1","1","1","1","1","1","82.04 (26.06, 258.26)"
"Blindness cortical","Iohexol","Blindness cortical","皮质盲","Eye disorders","眼器官疾病","12","12","6431","455","19899581","6443","467","19906479","81.61","45.98","144.85","81.46","929.16","6.31","5.73","0.1512","19.2","9.49","1","1","1","1","1","1","81.61 (45.98, 144.85)"
